1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
0,0334003;0,0341211;0,0232969;0,0236052;0,0252952;0,0247565;0,0240106;0,0248184;0,0268489;0,0267107;0,0283221;0,0277559;0,0292333;0,0280059;0,0288206;0,0290917;2,48317
0,0345951;0,0353695;0,0234795;0,0237407;0,0242139;0,0249233;0,0234557;0,0240245;0,0270579;0,0259242;0,0277437;0,0283207;0,0279925;0,0282855;0,0278921;0,0272724;2,46396
0,0321091;0,0347967;0,0248133;0,0243616;0,0238875;0,0249819;0,0251028;0,0244734;0,0264095;0,0272958;0,0264269;0,0275003;0,0293521;0,0287866;0,0279793;0,0280931;2,48554
0,0329885;0,0346535;0,0250637;0,0235685;0,0255207;0,0244601;0,0223187;0,0254095;0,025911;0,0267683;0,02646;0,0280395;0,0278909;0,0278554;0,027717;0,0269823;2,46768
0,0309119;0,0347523;0,0256777;0,0241704;0,023951;0,0254308;0,0238545;0,0256553;0,0266957;0,0272796;0,0261313;0,0293731;0,0282216;0,0283822;0,0277566;0,0276656;2,48153
0,0342891;0,0359474;0,0245581;0,0257481;0,0242212;0,0251377;0,0248147;0,0262492;0,0277671;0,0270738;0,0274318;0,0282186;0,0295128;0,0278125;0,0278964;0,0271997;2,46801
0,0307492;0,034512;0,0256699;0,024617;0,0248387;0,0240484;0,025198;0,0271587;0,0260903;0,0274774;0,0258473;0,0262637;0,028241;0,0291267;0,0277454;0,0275863;2,4771
0,0309895;0,035508;0,0241271;0,0241124;0,0250531;0,0245818;0,0242794;0,0237776;0,0266055;0,026603;0,0269274;0,0283884;0,0282488;0,0284208;0,0286432;0,0292274;2,46881
0,032056;0,0330799;0,0255197;0,0260551;0,0241322;0,0242448;0,0251693;0,0235304;0,0274953;0,0272042;0,0252779;0,0282873;0,0276637;0,0282596;0,0292663;0,0277869;2,47709
0,0321886;0,0338198;0,0299309;0,0245851;0,0248496;0,0247564;0,024326;0,0238117;0,0272585;0,0267796;0,0273735;0,0275319;0,02961;0,0286517;0,027205;0,0295273;2,47049
